"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3963620981387","14.9874493927126","17.1338439095551","17.5109023817511","15.5483138780804","13.1778407396361","13.0527540500736","13.2404897494305","14.8920470073791","15.5970763131814","16.2991240530303","17.6555078036643","17.4794700605049","16.1823933975241","13.0438634872019","11.5459016393443","12.3658407454468","10.0765434736167","10.7493344255581","10.7986789431545","12.4678921568627","12.7131248829807","12.3958265582656","11.358156434717","11.3720539260613","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","28.7321308005827","30.3217273480623","29.2667085780841","27.2275868403521","27.8956481235996","28.536857611137","28.4501959963732","28.1954101814032","28.0887061790121","26.6799207466314","28.4532488081138","27.5201491485472","28.4130252036717","27.7913513966862","27.8629339022722","26.9297265656908","26.055818395623","25.910637632374","26.9191914585147","26.8670381824905","27.4895015586221","26.7373549251531","27.0499449385749","28.0025098526551","28.0828298553911","29.2557418986511","30.7117487189413","26.6769382773538","27.4249168282385","28.4626619611907","28.1782029573705","27.7093764549497","26.983847382043","24.8449906975649","24.4773930244427","24.5498090148742","26.8427395177969","26.4307823616991","25.4552622316503","25.9852801436958","26.640124971308",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","14.0316990961127","15.589007985948","",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","39.2251291157677","35.4279120246286","34.4420203547866","31.6765102697877","34.1064588704947","31.3108941339695","30.7023104629808","29.6590846240756","31.3772790055124","32.5836876016401","32.504798898951","32.2385921370331","29.7122561062874","30.690786308516","32.7381731169416","32.2812421439749","31.572829900851","27.211861356441","28.1475273588313","32.0426541295362","28.0627185579434","25.2838685913547","27.3266365492931","29.156748972111","29.5659936472477","28.0369841466276","26.8722657302407","27.9635113309204","24.4654688564724","27.2002818445857","30.1913888322885","29.5947922860597","28.6438570471321","27.2285720141678","22.9173606346529","21.4228592286982","24.2857048716821","26.5456801127241","27.4260512886105","27.1423148278592","29.2397898926386","29.9352374343778",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169977877105","54.6299332781384","60.4019934569532","58.109331166465","61.8835378515421","60.2548203971699","44.0563741288187","52.3684375791632","56.0265138898967","56.9182189644947","53.3628521772331","46.2033255675024","41.9330921928439","42.6435678702129","42.1679537698985","47.9315418514046","49.7609207439829","45.6782423367558","47.5225880809871","44.8763995482735",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3738406921901","18.1097656674433","15.3468382322371","16.5367430578412","19.3956891374484","21.7357737789933","23.10636959577","24.055608509483","24.6655622675068","25.0816065897088","25.3080259185205","25.3403319220157","25.1610103305709","24.4137783931968","24.9374619346668","24.4844782196853","22.9185533432722","23.0613168520051","21.5088457362369","21.7636809971645","21.1419653523072","20.3584083577153","21.2794101864807","20.6196548783662","20.1145301950871","20.7469849089846","21.4332510450146",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8437550367806","14.9240176087095","15.0672890885022","15.4949366544165","15.7803540103879","16.0357828783728","16.1672951911525","15.4735314793076","15.4327671138582","14.7664887100921","13.1256460606154","11.908853107908","11.0715796683925","10.6182471491429","10.1535313011382","9.98126871637019","10.1407794073814","10.3955176672591","11.0763337210625","11.6998176283166","12.6601582717327","12.3657061543935","11.921568627451",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","57.5789460878521","59.4878417707744","57.7524561763297","53.3328855237142","59.2804288385504","64.8790017380919","62.0392631415885","53.287570951024","45.9534821484853","43.4416941027212","40.4554885548032","34.6106217286789","35.5115788664662","36.1846592647419","38.0523693821528","56.2379119357656","39.2017884887696","42.0196673058564","39.42464501243","38.9951045788615","40.9338685992795","42.8126421242553","43.8392740147622","39.1013730400832","43.0438972389189","49.0990432097941","46.3684331797472","46.2847523022091","46.824506071046","48.9454231952347","52.7124469298401","54.1024222524298","52.8050562221025","55.2942215823958","46.5207436768358","48.9875965710409","53.7188638069651","54.3947254899269","52.2982492691222","49.7021657771472","40.3365594141293","37.8959239628661","40.3018224947041","44.9312457734426","42.8216271672277","36.8624662146637","42.2684261276255","48.2980598637092",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","52.5308618345897","58.0355996068253","56.5680617372237","54.2038149769832","51.9897136713276","43.3542449306312","41.0285717283492","42.5280347643157","46.9189575863441","44.5245160379612","42.1740430729321","47.4834807905306","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968299416","47.8061321932459","46.0976480128857","44.0281237970279","41.2196656668996","40.3382267072576","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","23.1578477391434","22.1805729052757","23.5794730059849","23.4032965023379",
"Armenia","ARM","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8270946139077","26.7090481417071","25.2705329463993","25.7086994351611","25.5771330395605","25.8095323791656","24.7565578476257","24.9716084573435","26.8172956979296","26.6414047046651","25.561044734381",
"American Samoa","ASM","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","11.5311018882105","10.3771694170806","11.5880623141682","13.0645125420129","13.3137815445152","10.4133582428273","10.2211517108379","10.9162325364122","11.7298494640686","12.9576021006585","13.8033586786209","14.2363271603704","15.2518015531413","13.9097350411504","14.5647042541577","13.4823375814133","12.7075302601438","12.5256054189235","12.6955205112083","12.2473072404986","12.513128037134","12.6586336389819","13.5116060983981","13.8907314449624","12.8825244066071","13.0460290245267","13.2713740177401","13.0533530385339","14.5184648805214","18.4522457441397","17.7409753276249","19.1239163168153","19.4609361101647","16.2041470390038","14.5307687799923","14.2854938176341","15.6822606280428","16.1886387614543","16.4579794794781","17.9383723748189","19.2209876169427","21.1224405014678","21.2333566923616","20.4425047200155","20.2613091565007","21.302994607557",
"Australia","AUS","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7743261808514","27.6479510762267","26.864624405548","26.8216146859207","26.7795491415946","26.4134389647689","25.961567547946","25.1981574768068","25.3625131529819","24.6139288174216","24.5738190165519","23.6532672415744","23.6226148559456","24.0526277759644","23.9461800328848","24.6308353316914","25.6314921153584","25.6833694146013","25.614826913895","27.0477720313242","25.1778159333812","26.5225045350299","26.3845042181717","25.1973643961788","25.5787418592678","23.6935141578446","22.3299254677721","23.4734721075625","24.1439568878264","25.3167424649892","25.4062827896948","25.5235123309295","27.8759975418473",
"Austria","AUT","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","33.9985945665537","33.6022058931724","33.8423827872164","32.9180389097137","32.9373057967936","32.5462613788216","31.766130895421","31.2968521757649","30.1146225743745","30.4474446523766","30.259284564499","29.7526220688057","29.5182647201743","29.2832194332994","29.560863303277","29.5052574059251","29.0158979502276","28.303768907107","28.4134001556217","28.851531988081","28.7520088650827","28.6763839380903","28.5106628527989","28.4285921580405","28.2848020340956","28.2087461435225","27.3880784820285","27.498379858473","27.3737678166123","27.0742425967636","27.2593708304078","27.5726388212438","26.9602141407645","25.7928458296062","25.5349942466396","25.4474320432043","25.6339685320435","25.5249417894219","25.3646396008814","25.174913250307","25.476804975952","25.4118677707583","25.3664293905671","25.1838597693066","25.7811412522824","25.8339686302555","26.1770385837056",
"Azerbaijan","AZE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0477489768076","29.6032934131737","36.536586377876","32.1487261146497","27.6519081932212","30.9963445496298","35.1496743028617","36.9914194345059","34.9561123059931","39.1035999046383","42.5383099128887","43.4626382722552","46.1542268041237","48.5398446792136","50.7690323790767","58.5242563385905","65.153471103477","66.1211896828335","65.710363453355","56.3585803968934","59.7713411044389","61.7328443608156","59.4557912599989","57.0544154549517","53.5868546669355","44.8913203383597","47.5578070076723","49.7017251037138","52.250536882585","48.8236328425495","41.9563201571824","48.8181736249399","55.9361498306007",
"Burundi","BDI","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","9.40435329180615","9.757409474907","10.7939653815164","11.6259017618486","12.1193843211534","12.5826855731207","11.7422871267673","12.1820399284065","14.3067317549249","14.7154336475697","11.6707379245525","12.7159338731537","14.2948788244325","14.4812136144171","12.5809208689103","11.8218760582459","12.1288474573801","15.7113530371091","14.8146929535943","17.2629184748477","17.3268756640774","17.5348516739186","18.9860061517847","20.1234127083025","19.5729092024609","16.8006722324595","11.7825921702775","13.8904315635939","14.6912847076462","16.1196105401845","15.5395706894248","15.5731910756723","15.8040004931229","15.7417123072253","16.3230191571129","16.9330035986109","15.3152912436064","17.1561942189062","15.415205278109","16.9195289638327","15.3861562777509","14.8096813161324","15.7508130170673","15.5848005138924","15.498211588581","11.7664286894227","12.2073630909389","10.9931308053063","11.1072170298745","10.9359800008699","10.7429500000783","10.599389999527","10.6377877568045",
